桌游名称,推荐人数,游戏时长(分钟),难度等级,分类,核心玩法简介,图片链接,视频链接
致命玩笑,3-6人,20,1.03,"派对游戏,欢乐搞笑",黑色幽默主题游戏，玩家通过讲述笑话和完成搞笑任务获取分数，适合喜欢幽默风格的玩家。,致命玩笑.jpg,致命玩笑.mp4
暗藏杀机,2人，4人,60,2.41,"派对游戏,身份对抗",你可以是恶名昭彰的连环杀手，也可以是经验老到的侦探，追踪罪犯的痕迹。两个阵营的游戏体验各有不同：凶手要周详计划每一步，隐藏杀人动机，侦探则需搜集证据、查问目击者——但并非所有人都对你诚实坦白……,暗藏杀机.jpg,暗藏杀机.mp4
璀璨宝石:宝可梦,2-4人,30,1.85,"德式游戏,资源管理",璀璨宝石宝可梦联名版，将宝石替换为宝可梦精灵球，发展卡变为宝可梦卡牌，保留核心玩法，适合宝可梦粉丝。,璀璨宝石宝可梦.jpg,璀璨宝石宝可梦.mp4
地产大亨,2-6人,90,1.62,"派对游戏,互坑对抗",经典地产经营游戏，玩家购买土地、建造房屋和酒店，收取租金，让对手破产，成为地产大亨。,地产大亨.jpg,地产大亨.mp4
花火,2-5人,20,1.69,"合作游戏,信息推理",在这款独特的合作游戏中，你们共同努力要施放最璀璨的花火，但偏偏你们在表演前把花火都混在一起了！,花火.jpg,花火.mp4
情书,2-6人,10,1.12,"派对游戏,互坑对抗",卡牌游戏，玩家通过出牌和猜测对方手牌，将情书送到公主手中，策略性强且节奏快。,情书.jpg,情书.mp4
炸弹克星,2-5人,30,2,"合作游戏,信息推理",拆弹主题游戏，玩家需要合作拆除炸弹，通过卡牌行动获取拆弹工具，同时防止炸弹爆炸。,炸弹克星.jpg,炸弹克星.mp4
捣蛋王国,2-4人,45,2.44,"德式游戏,引擎构筑",一群捣蛋鬼们，他们是会自己的想法独树一帜呢？还是跟随其他孩子们亦步亦趋呢？,捣蛋王国.jpg,捣蛋王国.mp4
犯人在跳舞,3-9人,10,1.16,"派对游戏,互坑对抗",玩家众多时找犯人的互动会变得扑朔迷离，享受瞬息万变、紧张刺激的游戏过程。,犯人在跳舞.jpg,犯人在跳舞.mp4
现在下午五点,2-4人,45,1.67,"德式游戏,区域控制","大家今天也一同逛街吧!有着酒吧,电影院,桌游吧食你生活在这有着热闹聚集地的城市中下午五点，出去HAPPY啦!那么，今晚该去哪呢?",现在下午五点.jpg,现在下午五点.mp4
爆珠发明,2-4人,30,2.05,"德式游戏,引擎构筑",你才华横溢、足智多谋，埋首家里的实验室，努力建造出胜过其他科学家的创新发明。最终你能不能驾驭好4种能量，铺垫最出众的能量连锁，赢得冠军呢？,爆珠发明.jpg,爆珠发明.mp4
璀璨宝石,2-4人,30,1.78,"德式游戏,资源管理",经典宝石收集游戏，玩家通过收集宝石卡牌购买发展卡，积累声望点数，最先达到目标声望者获胜，规则简单策略丰富。,璀璨宝石.jpg,璀璨宝石.mp4
地产大亨冒险大挑战,2-4人,45,1.19,"派对游戏,互坑对抗",由玛莉欧电玩启发的新玩法地产大亨! 玩法会因选用不同的角色而不同! 通过收集金币、购买物业和打败BOSS赚取分数。,地产大亨冒险大挑战.jpg,地产大亨冒险大挑战.mp4
风声,3-9人,60,2.43,"派对游戏,身份推理",在《风声》中，分为两大对立的阵营，大部分玩家都会扮演忠于某个阵营的的间谍角色，其余玩家则会扮演无辜卷入的路人。,风声.jpg,风声.mp4
骇浪求生,4-8人,60,1.75,"派对游戏,嘴炮游戏",在爱德华型救生船上，你是漂流在船上的落难者之一。船上有你喜爱的朋友、憎恨的敌人和几位机灵的人。如果你有意识，回合中必须选择划船、换座位、抢夺他人的物资、不做事或执行一项特殊行动。,骇浪求生.jpg,骇浪求生.mp4
旧货市场,2-10人,35,1.1,"派对游戏,简单卡牌",游戏主题自然是买卖旧货，纽扣镇里有个举世闻名的旧货市场，大大小小的商人们聚集于此，带来了世界各地的旧货。每一个在旧货市场的人都有自己与众不同的故事。,旧货市场.jpg,旧货市场.mp4
榴莲忘贩,2-7人,15,1.11,"派对游戏,简单卡牌",店员们要忙的事情太多，还没来得及检查新到店的存货，便开始接受订单。虽说自己还没检查，但其他员工一定已经都确认好了吧。然而员工们得意忘形，结果接了太多的订单.....,榴莲忘贩.jpg,榴莲忘贩.mp4
美丽新世界,2-4人,45,2.33,"德式游戏,轮抽构筑",轮抽建造机制的基础上加强了引擎构筑的要素，不同资源的生产具有先后顺序，需要规划一轮中资源获取与建筑建造。,美丽新世界.jpg,美丽新世界.mp4
一夜终极狼人,3-10人,15,1.38,"派对游戏,身份推理",狼人杀简化版，只需一夜就能完成游戏，玩家通过夜间行动和白天讨论，找出狼人或隐藏身份。,一夜终极狼人.jpg,一夜终极狼人.mp4
口袋大冒险:鲁滨逊,1人,15,1,"单人游戏,冒险游戏",鲁滨逊漂流记主题单人游戏，玩家在荒岛上生存，收集资源，建设营地，等待救援。,口袋大冒险鲁滨逊.jpg,口袋大冒险鲁滨逊.mp4
卡卡颂,2-4人,60,1.89,"德式游戏,区域控制",在一块块拼起的版图中，随着回合的进行，版图将逐渐扩大。玩家派遣手下去建立、管理或占领城堡、道路、草原和修道院。每拼放一块版图，玩家就有机会派遣手下担任一个角色，如何拼放和派遣才能让你在游戏终了时获得最高的分数？,卡卡颂.jpg,卡卡颂.mp4
末选之路:商队,1人,30,1,"单人游戏,冒险游戏",冒险策略类桌游，玩家带领商队穿越危险区域。需要选择安全的路线，应对强盗、自然灾害等挑战，管理商队资源，游戏充满冒险色彩和策略性，支持多人合作或对抗。,末选之路商队.jpg,末选之路商队.mp4
牛头王,2-10人,15,1.53,"派对游戏,预测吃墩",尝试不拿任何卡牌！你拿到的每一张牌上的每一个牛头都会为你带来负分。游戏结束时，获得最少牛头的人赢得游戏！机制简单，变化复杂！,牛头王.jpg,牛头王.mp4
七大奇迹,3-7人,60,2.31,"德式游戏,轮抽构筑",作为七大文明古国之一的领袖，你将亲临历史带领你的文明历经数个的时代，体验七大文明古国的兴衰沉浮。文明的历史终将会走到尽头，玩家们最终会审视自己一手建立的文明奇迹，只有获得最高分数的玩家才会成为最终的赢家。,七大奇迹.jpg,七大奇迹.mp4
印加宝藏,3-8人,30,1.11,"派对游戏,赌狗游戏",你和你富有冒险精神的伙伴们，前往古老的印加神庙中，寻找稀有的绿松石、黑曜石与黄金。游戏中的每个回合，你都必须决定是要进一步地深入探索神庙，或者是要安全地返回营地，将已经到手的宝物好好收藏保管。,印加宝藏.jpg,印加宝藏.mp4
丛林智慧棋,2-5人,30,1.82,"派对游戏,抽象棋类",丛林智慧棋是一款轻策略游戏，以刚果部落的文化与民俗为背景。在非洲民间故事一个很常见的主题，就是睿智的动物教导人们向好行善。作为部落首领，必须遵从动物的指引，踏上旅程，穿过丛林，最终希望博得他们垂青。,丛林智慧棋.jpg,丛林智慧棋.mp4
抵抗组织阿瓦隆,5-10人,90,1.74,"派对游戏,身份推理",经典身份推理游戏，分为好人阵营（抵抗组织）和坏人阵营（间谍），好人需完成任务，坏人则破坏，无需淘汰玩家更友好。,抵抗组织阿瓦隆.jpg,抵抗组织阿瓦隆.mp4
花见小路,2人,20,1.68,"双人游戏,卡牌博弈",欢迎来到古都最负盛名的花见小路。身为这条街的料亭老闆，为了争取七名最好的艺者来到你的店里服务，你与其他老板竞争，借由收集她们最擅使用的表演物品来吸引她们。细心筹算，大胆行动，你也许能得到想要的物品。,花见小路.jpg,花见小路.mp4
签签入扣,2-10人,5,1,"派对游戏,欢乐搞笑",《签签入扣》是一个动作平衡游戏，玩家需要用单手，把签子一根根的摆放到高处的盘子上，每一根需要符合对应的颜色位置。盘子里的签越来越多时，就会开始倾斜，考验玩家技术的时候就到了，请保持镇定，不然一支没放稳的签子就能栽倒一切。,签签入扣.jpg,签签入扣.mp4
忍者之夜,4-11人,30,1.86,"派对游戏,互坑对抗",忍者主题游戏，分红方/蓝方两个流派，轮抽手牌，根据规定的出牌类型出牌。撕逼吹牛，找出同阵营伙伴，获取胜利积分。,忍者之夜.jpg,忍者之夜.mp4
我是大老板,3-6人,45,1.97,"派对游戏,嘴炮游戏",经典嘴炮游戏，玩家扮演商人进行商业交易，通过谈判、合作和背叛获取利润，最后财富最多者获胜。,我是大老板.jpg,我是大老板.mp4
口袋大冒险:梅林,1人,15,1,"单人游戏,冒险游戏",梅林魔法主题单人游戏，玩家扮演梅林解决魔法难题，通过魔法和智慧克服挑战，完成魔法任务。,口袋大冒险梅林.jpg,口袋大冒险梅林.mp4
犯罪现场,4-10人,30,1.59,"派对游戏,身份推理",犯罪推理游戏，一名玩家扮演凶手，其他人扮演侦探，通过线索卡和场景卡推理还原犯罪现场，找出真凶。,犯罪现场.jpg,犯罪现场.mp4
弗拉切诺的秘宝,2人,30,1.9,"双人游戏,卡牌博弈",一款双人推理棋盘游戏，让您体验小偷和侦探的战术和故事。世界观由岩本达郎和山崎刚创作，他们因《王牌检察官》系列而闻名。适合成年人的心理战游戏，观察和推理能力非常重要。,弗拉切诺的秘宝.jpg,弗拉切诺的秘宝.mp4
卡波,2-4人,5,1.22,"派对游戏,简单卡牌",考验记忆力和推理的游戏，每人四张牌，知道其中的两张，通过盲弃，peek，swap，spy来增加信息量，有一点推理和小心机，但更多时候还是一个赌狗的游戏最后看谁距离cabo小。,卡波.jpg,卡波.mp4
卡坦岛,3-4人,60,2.28,"德式游戏,资源管理",卡坦岛是一个深受玩家赞誉的思考策略游戏，玩家在游戏中扮演一个拓荒者，玩家需要扩张争取生存空间。物产的生产则掷骰决定，加上贼匪阻碍生产，玩家合作朝目标前进之余，亦要寻找自己的致胜之道。,卡坦岛.jpg,卡坦岛.mp4
拇指车神,2-4人,15,1,"派对游戏,绘画游戏",微型赛车主题的欢乐桌游，玩家操控拇指来驱动赛车进行比赛。游戏节奏快，充满欢乐和竞技性，适合多人聚会。,拇指车神.jpg,拇指车神.mp4
女巫的毒药,2-4人,5,1,"派对游戏,赌狗游戏",每一次翻牌，都是一次“心跳大考验”，要避免翻到毒药，最幸运的人才能存活下来。,女巫的毒药.jpg,女巫的毒药.mp4
天合小队,2人,30,2.04,"双人游戏,合作冒险",仅限 2 人玩的合作交流游戏，在游戏中，您将扮演控制客机的飞行员和副驾驶员。你们的目标是团队合作，将飞机降落在世界各地的不同机场。,天合小队.jpg,天合小队.mp4
展翅翱翔,1-5人,90,2.48,"德式游戏,引擎构筑",经典鸟类主题卡牌游戏，通过卡牌操作，玩家收集不同鸟类卡牌，构建生态系统，获取分数，策略性和重玩度高。,展翅翱翔.jpg,展翅翱翔.mp4
二人三筑,1-8人,15,1.26,"派对游戏,欢乐搞笑",二人三筑是将就一个快而准的游戏，在限定时间内完成卡牌所示的建筑，就能获得分数。冷静的头脑加上稳妥的身手可让你得到胜利！,二人三筑.jpg,二人三筑.mp4
骰子小镇2,2-5人,30,1.56,"派对游戏,赌狗游戏",骰子小镇升级版，玩家通过掷骰子获取资源，建设小镇，通过多种方式积累金币取胜。,骰子小镇2.jpg,骰子小镇2.mp4
星空觅迹,2-4人,120,3.83,"德式游戏,引擎构筑,行动选择,资源管理",您将领导一个科学机构，负责寻找地球以外的生命痕迹。玩家将利用行星位置的不断变化，从地球发射探测器，探索附近的行星及其卫星。玩家可以决定是降落在行星表面收集有价值的样本，还是留在轨道上进行更广泛的调查。,星空觅迹.jpg,星空觅迹.mp4
百万美金,3-9人,30,2.07,"派对游戏,嘴炮游戏",是一个充满虚张声势、误导和谈判的游戏，没有任何随机性。玩家秘密选择角色，结成临时联盟。对于你即将被双规的同伙，任何谈判策略都是合法的！成功完成抢劫的玩家将分享战利品,百万美金.jpg,百万美金.mp4
大杀四方,2-4人,15,2.06,"派对游戏,简单卡牌",这是一款适合2-4人进行的卡牌类互车游戏！玩家控制两个不同种族抢夺基地的控制权，通过争夺基地来获取胜利分数，最快获得15点胜利分数的玩家获胜！,大杀四方.jpg,大杀四方.mp4
海盐折纸,2-4人,15,1.47,"派对游戏,成套收集",创意手工与策略结合的桌游，玩家通过折纸制作船只和建筑。在海岛上发展自己的领地，利用海盐资源进行贸易和建设，游戏兼具艺术性和策略性，适合喜欢创意玩法的玩家。,海盐折纸.jpg,海盐折纸.mp4
拉密,2-4人,30,2,"德式游戏,成套收集",是 2-4 人数字牌组合桌游，破冰凑 30 + 分牌组后拆分重组顺子 / 群组，率先出光手牌获胜。,拉密.jpg,拉密.mp4
抹茶,2人,15,1.67,"双人游戏,卡牌博弈",抹茶是一款有趣的桌游，适合朋友聚会游玩，规则简单易上手，具有一定的策略性和娱乐性。,抹茶.jpg,抹茶.mp4
三国杀,2-10人,30,2.21,"派对游戏,身份推理",三国杀是经典三国题材卡牌桌游，凭身份博弈、武将技能与卡牌谋略对战，玩法多变、互动感强。,三国杀.jpg,三国杀.mp4
铁路环游纽约,2-4人,45,1.26,"德式游戏,成套收集",铁路环游系列纽约版，玩家在纽约地图上建设铁路网络，连接城市，获取分数，优化路线规划。,铁路环游纽约.jpg,铁路环游纽约.mp4
巫师飞塔,2-6人,45,1.59,"派对游戏,互坑对抗",魔法主题聚会桌游，通过移动巫师 / 塔楼、叠塔封印对手、收集药水施咒互坑，率先将所有巫师送入渡鸦堡垒并处理完药水获胜，兼具策略与记忆挑战。,巫师飞塔.jpg,巫师飞塔.mp4
口袋大冒险:福尔摩斯,1人,15,1,"单人游戏,推理游戏",福尔摩斯侦探主题单人游戏，玩家扮演福尔摩斯破解各种案件，通过线索推理找出真相。,口袋大冒险福尔摩斯.jpg,口袋大冒险福尔摩斯.mp4
方舟动物园,2-4人,180,3.8,"德式游戏,行动选择,引擎构筑,资源管理",动物园建设游戏，需要策略规划，玩家收集不同动物，规划动物园布局，满足动物需求，获得游客满意度，打造最佳动物园。,方舟动物园.jpg,方舟动物园.mp4
狂野骆驼,3-8人,45,1.51,"派对游戏,赌狗游戏",埃及主题竞速桌游，通过下注骆驼名次、操控沙漠陷阱与叠驼移动，凭奖金总额定胜负，欢乐刺激兼具策略与运气。,狂野骆驼.jpg,狂野骆驼.mp4
拉斯维加斯豪华版,2-5人,45,1.43,"派对游戏,赌狗游戏",赌场主题的策略桌游，豪华版包含更多组件和扩展规则。玩家在拉斯维加斯的赌场中下注，通过骰子组合获取最大收益，游戏充满随机性和策略性，支持多人同时游戏。,拉斯维加斯豪华版.jpg,拉斯维加斯豪华版.mp4
山中小屋,3-6人,60,2.4,"美式游戏,剧情对抗",克苏鲁风悬疑桌游，探索诡秘老宅搜集线索，触发惊悚剧情、推演真相，沉浸式氛围拉满。,山中小屋.jpg,山中小屋.mp4
王权骰铸第一季,2-6人,45,2.05,"美式游戏,骰子对抗",骰子对战桌游，选英雄掷专属骰子，配卡牌技能互攻，先击败对手获胜，快节奏易上手。,王权骰铸第一季.jpg,王权骰铸第一季.mp4
地毯商人,2-4人,30,1.33,"派对游戏,拼图游戏","广场的地毯市集正噪动力起来,因为被誉为地毯推销王的人即将诞生,各推销员将施展浑身解数,努力在游戏结束时取得最多数量之可见地毯,并积累最大笔财富,最富有的玩者就是赢家。",地毯商人.jpg,地毯商人.mp4
方舟动物园海洋世界,2-4人,180,3.84,"德式游戏,行动选择,引擎构筑,资源管理",方舟动物园海洋主题扩展，加入海洋生物和水上设施，玩家建设海洋馆，满足海洋生物特殊需求，扩展游戏内容。,方舟动物园海洋世界.jpg,方舟动物园海洋世界.mp4
观察者梦游爱丽丝,1-4人,20,1.1,"派对游戏,观察解谜",奇幻主题的合作解谜桌游，玩家进入爱丽丝的梦境世界，需要共同解决梦境中的谜题。,观察者梦游爱丽丝.jpg,观察者梦游爱丽丝.mp4
纸牌帮,3-6人,30,1.61,"派对游戏,默契合作",在 "纸牌帮 "这款合作版德州扑克游戏中，玩家将赌上他们认为自己手中的牌相对于其他玩家有多好，然后努力将自己的预测变为现实。,纸牌帮.jpg,纸牌帮.mp4
大搜查绝密冒险,2-4人,60,2.13,"双人游戏,密室解谜",《大搜查！绝密冒险》是《大搜查》游戏系列的第三季，在《大搜查！绝密冒险》中，将收录《决战大光头博士》、《墓碑镇快车》、《绿野仙踪历险记》三个剧本。,大搜查绝密冒险.jpg,大搜查绝密冒险.mp4
公会奇幻征途,2-4人,45,1.5,"派对游戏,简单卡牌",奇幻主题的策略桌游，玩家领导不同公会争夺王国霸权。通过招募英雄、建设领地、开展战争来扩张势力，每个公会拥有独特技能树，支持多种胜利条件，适合喜欢史诗级策略对抗的玩家。,公会奇幻征途.jpg,公会奇幻征途.mp4
诡镇奇谈卡牌版:基础,1-4人,120,3.57,"美式游戏,卡牌构筑,剧情冒险",克苏鲁神话背景的卡牌游戏，玩家扮演调查员探索诡异事件。基础版包含核心游戏机制和经典调查员角色，通过组建卡组、解决案件来对抗远古邪神，支持单人或多人合作模式。,诡镇奇谈卡牌版基础.jpg,诡镇奇谈卡牌版基础.mp4
花砖物语,2-4人,30,1.77,"德式游戏,成套收集",美学与策略结合的桌游，玩家扮演葡萄牙瓷砖工匠。通过拼接不同图案的瓷砖来装饰宫殿墙面，优化瓷砖组合获取高分，游戏画面精美，规则简洁但策略深度高，适合策略游戏爱好者。,花砖物语.jpg,花砖物语.mp4
来啦宝可梦,2-5人,10,1,"派对游戏,简单卡牌",宝可梦主题的欢乐桌游，适合宝可梦粉丝。玩家收集不同类型的宝可梦卡片，通过对战和交换提升实力，游戏规则简单易懂，充满童趣，支持多人互动，适合家庭和朋友聚会。,来啦宝可梦.jpg,来啦宝可梦.mp4
狼人真言,2-13人,15,1.15,"派对游戏,语言游戏",身份推理类桌游，狼人杀的创新版本。加入了真言机制，玩家可以通过提问获取信息，同时需要隐藏自己的身份，游戏节奏更快，推理元素更丰富，适合喜欢逻辑推理的玩家群体。,狼人真言.jpg,狼人真言.mp4
驴桥,3-6人,30,1,"派对游戏,语言游戏","在驴桥中,玩家使用关键词卡片来创造故事,并尝试使用这些关键词卡片作为提示以便记住其他玩家的故事。最终,他们的目标是尽可能多地记住故事",驴桥.jpg,驴桥.mp4
脑洞量表,3-9人,30,1.08,"派对游戏,语言游戏",创意问答类桌游，考验玩家的想象力和知识面。根据题目给出奇葩但合理的答案，通过评委评分决定胜负，游戏充满趣味性和创意，适合喜欢脑力激荡的玩家群体。,脑洞量表.jpg,脑洞量表.mp4
七大奇迹城邦,3-7人,60,2.29,"德式游戏,轮抽构筑",七大奇迹系列的扩展，新增城邦机制。玩家在建设奇迹的同时发展城市特色，每个城邦提供独特的能力，丰富了游戏的策略选择，适合喜欢七大奇迹基础版的玩家进一步体验。,七大奇迹城邦.jpg,七大奇迹城邦.mp4
七大奇迹舰队,3-7人,60,3,"德式游戏,轮抽构筑",七大奇迹系列的海洋主题扩展，引入海军建设机制。玩家建造舰队进行海上贸易和战争，获取额外资源和胜利点数，扩展了游戏的策略维度，增强了玩家间的互动。,七大奇迹舰队.jpg,七大奇迹舰队.mp4
七大奇迹领袖,3-7人,60,2.38,"德式游戏,轮抽构筑",七大奇迹系列的重要扩展，加入领袖角色机制。每个玩家选择不同的领袖，获得独特的技能加成，影响整个游戏的策略走向，极大提升了游戏的策略深度和 replayability。,七大奇迹领袖.jpg,七大奇迹领袖.mp4
七大奇迹穹楼,3-7人,60,2.8,"德式游戏,轮抽构筑",七大奇迹系列的最新扩展，聚焦城市建筑发展。玩家建设穹楼等宏伟建筑，获取特殊能力和胜利点数，扩展了游戏的建筑类型和策略选择，适合资深玩家体验。,七大奇迹穹楼.jpg,七大奇迹穹楼.mp4
三国杀国战,2-10人,45,2.25,"派对游戏,身份推理",三国杀团队对战版，分为魏蜀吴群四大阵营，玩家组队作战，协同配合消灭其他阵营，策略性更强。,三国杀国战.jpg,三国杀国战.mp4
王权骰铸第二季,2-6人,30,2.16,"美式游戏,骰子对抗",王权骰铸系列第二季，加入新的角色和机制，玩家通过骰子组合获取能力。,王权骰铸第二季.jpg,王权骰铸第二季.mp4
现代艺术,3-5人,45,2.28,"派对游戏,拍卖游戏",经典艺术品交易游戏，玩家作为艺术品商人，通过拍卖和交易艺术品获取利润，最后财富最多者获胜。,现代艺术.jpg,现代艺术.mp4
